codigo,año,campaña,olores,color,espumas,mat_susp,tem_agua,tem_aire,od,ph,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,Poblacion_partido
VL032,2024.0,verano,0.0,0.0,0.0,1.0,0.6696428571428572,0.5862068965517242,0.3061458931648478,0.4416135881104035,0.012855732651046644,0.0724845414090235,0.11494733936669231,0.3272727272727273,0.019214849026186222,0.056291390728476824,0.14285714285714285,0.04977375565610859,0.3729433272394881,0.0,0.07138806492440421
TI009,2021.0,invierno,0.0,0.0,0.0,0.0,0.3035714285714286,0.24137931034482757,0.5341757610568638,0.3715498938428874,0.045161901251695676,0.12653306126530683,0.07307341929701962,0.05,0.08998674194090515,0.08845789971617785,0.17346938775510207,0.21073044602456367,0.12248628884826325,0.21638655462184872,0.12524143885456762
TI008,2023.0,verano,0.0,0.0,0.0,0.0,0.9598214285714286,0.8620689655172413,0.3733486502010339,0.36730360934182604,0.0011414302020431458,0.000983349722495375,0.005440823729011875,0.07727272727272726,0.35869585514481167,0.1972563859981079,0.07857142857142856,0.07756948933419516,0.11791590493601463,0.0,0.12524143885456762
BS092,2023.0,otoño,0.0,0.0,0.0,0.0,0.4464285714285714,0.3103448275862069,0.3520964962665135,0.7197452229299361,0.0,0.003316721945365756,0.005940853480782105,0.2,0.003529257984401551,0.04635761589403974,0.05714285714285712,0.03167420814479638,0.19561243144424134,0.0,0.012078647092104877
TI005,2023.0,invierno,1.0,1.0,0.0,1.0,0.3705357142857143,0.20689655172413796,0.2257323377369328,0.39490445859872625,0.008570012242874632,0.03415056917615294,0.0999464468135854,1.0,0.22443466515620236,0.271523178807947,0.38571428571428573,0.167420814479638,0.10877513711151737,0.0,0.12524143885456762
VL033,2023.0,otoño,0.0,0.0,0.0,0.0,0.4910714285714286,0.41379310344827586,0.3676048248133257,0.3014861995753717,3.4285763265376097e-06,1.1666861114351906e-05,0.039942876601157765,0.34545454545454546,0.03838612696614527,0.04635761589403974,0.07857142857142856,0.13768584356819652,0.05393053016453382,0.0,0.07138806492440421
CA047,2023.0,otoño,0.0,0.0,0.0,0.0,0.4910714285714286,0.4827586206896552,0.4250430786904078,0.42250530785562646,4.428577755111078e-06,1.750029167152786e-05,0.037942757594076844,0.17402597402597403,0.01965055988845802,0.026490066225165566,0.0357142857142857,0.23076923076923075,0.3007312614259598,0.0,0.9999999999999999
QU063,2021.0,invierno,0.0,0.0,0.0,0.0,0.2723214285714286,0.10344827586206895,0.48420448018380247,0.5562632696390659,0.014284306120437315,0.004150069167819464,0.006940912984322567,0.11818181818181818,0.04143610300204784,0.12582781456953646,0.17142857142857143,0.28054298642533937,0.07221206581352833,0.06932773109243698,0.1862158281851451
EN084,2021.0,primavera,0.0,0.0,0.0,0.0,0.6696428571428572,0.7931034482758621,0.48822515795519816,0.6029723991507432,0.0005700008142868775,0.0008166802780046335,0.011191165874369524,0.30909090909090914,0.030107620582981137,0.04635761589403974,0.021428571428571422,0.09049773755656107,0.10420475319926874,0.018907563025210086,0.0
AV052,2024.0,verano,0.0,1.0,0.0,1.0,0.6696428571428572,0.5517241379310345,0.1964388282596209,0.45435244161358823,0.002427146324494749,0.009983499724995418,0.015941448516186712,0.2,0.02575051196026317,0.06291390728476823,0.1816326530612244,0.08920491273432449,0.2755941499085923,0.0,0.09927592871789673
AV054,2021.0,primavera,0.0,0.0,0.0,0.0,0.6428571428571428,0.8275862068965516,0.23205054566341182,0.3269639065817409,0.00142714489592128,0.0008166802780046335,0.009441061743173718,0.22012987012987012,0.04143610300204784,0.056291390728476824,0.12857142857142856,0.036199095022624445,0.05393053016453382,0.0,0.09927592871789673
TI005,2022.0,otoño,0.0,0.0,0.0,1.0,0.4464285714285714,0.3103448275862069,0.23492245835726594,0.30785562632696384,0.1514273591819417,0.06665111085184754,0.03844278734584707,0.4636363636363637,0.0070149448825759225,0.14238410596026493,0.22142857142857142,0.07239819004524886,0.3555758683729433,0.0,0.12524143885456762
BZ080,2024.0,primavera,0.0,0.0,0.0,0.0,0.49196428571428574,0.6275862068965516,0.6465906293591531,0.8161965423111925,0.029917185595979424,0.019983666394439912,0.024941984048050855,0.2090909090909091,0.0022221253975861625,0.17218543046357618,0.17448979591836733,0.004524886877828052,0.24680073126142602,0.0,0.09638422217934337
SI024,2023.0,invierno,0.0,0.0,0.0,0.0,0.2991071428571428,0.3448275862068965,0.37105112004595064,0.424931756141947,0.004712863875519823,0.019150319171986202,0.0749449592250739,0.2233766233766234,0.3682192497058952,0.47019867549668876,0.36428571428571427,0.10859728506787328,0.008226691042047532,0.0,0.07629402395910664
AV055,2021.0,primavera,0.0,0.0,0.0,0.0,0.8035714285714286,0.8655172413793104,0.23205054566341182,0.3460721868365182,0.008570012242874632,0.001650027500458341,0.004940793977241645,0.05,0.015293451265740058,0.09271523178807947,0.22142857142857142,0.081447963800905,0.044789762340036565,0.0,0.09927592871789673
QU062,2023.0,otoño,0.0,0.0,0.0,0.0,0.4464285714285714,0.6551724137931034,0.3159103963239518,0.36730360934182604,2.8571469387813412e-06,0.006983449724162071,0.004340758275117369,0.07272727272727274,0.00745065574484772,0.019867549668874177,0.021428571428571422,0.11247575953458303,0.30987202925045704,0.0,0.1862158281851451
