codigo,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,ica,Poblacion_partido,Personas_con_cloacas
AV051,2021.0,verano,25.3,,4.77,6.61,0.0,0.0,0.0,0.0,2000.0,1320.0,450.0,4.3,0.36,1.0,0.44,,45.0,,45.0,367554.0,289059.0
AV051,2021.0,otoño,16.2,14.5,5.95,7.79,0.0,0.0,0.0,0.0,5000.0,2400.0,60.0,3.6,3.3,0.33,0.33,6.0,,80.0,48.0,367554.0,289059.0
AV051,2021.0,invierno,15.1,12.8,3.76,7.11,0.0,0.0,0.0,0.0,40000.0,3000.0,20.0,2.2,2.0,0.61,0.56,3.3,13.0,,40.0,367554.0,289059.0
AV051,2021.0,primavera,23.9,28.0,4.59,6.76,0.0,0.0,0.0,0.0,2000.0,100.0,100.0,,1.5,0.25,0.29,2.4,15.0,,52.0,367554.0,289059.0
AV052,2021.0,verano,25.5,,3.22,6.87,0.0,0.0,0.0,0.0,10000.0,3200.0,600.0,4.0,1.6,0.98,0.46,6.4,32.0,,39.0,367554.0,289059.0
AV052,2021.0,otoño,16.2,14.5,4.67,7.69,0.0,0.0,0.0,0.0,9000.0,6400.0,600.0,3.4,2.7,0.48,0.48,7.4,30.0,75.0,41.0,367554.0,289059.0
AV052,2021.0,invierno,14.8,12.8,3.7,7.04,0.0,0.0,0.0,0.0,60000.0,3000.0,100.0,2.1,2.2,0.73,0.63,4.8,11.0,,38.0,367554.0,289059.0
AV052,2021.0,primavera,21.4,29.1,4.82,6.82,0.0,0.0,0.0,0.0,2000.0,1000.0,200.0,,0.1,0.35,0.38,3.5,13.0,,50.0,367554.0,289059.0
AV053,2021.0,verano,26.1,,2.21,7.21,0.0,0.0,0.0,0.0,40000.0,39000.0,1300.0,2.8,23.0,0.82,0.79,9.1,21.0,,36.0,367554.0,289059.0
AV053,2021.0,otoño,16.7,14.5,3.41,7.71,0.0,0.0,0.0,0.0,32000.0,9000.0,40.0,3.1,2.9,0.61,0.61,8.5,,50.0,38.0,367554.0,289059.0
