olores,color,espumas,mat_susp,tem_agua,tem_aire,od,ph,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,Poblacion_partido,año,campaña_otoño,campaña_primavera,campaña_verano,codigo
0.0,0.0,0.0,1.0,22.0,21.0,5.53,7.39,9000.0,8700.0,2300.0,8.3,0.49,0.25,0.3,3.0,83.8,0.0,282281.0,2024.0,0.0,0.0,1.0,41.0
0.0,0.0,0.0,0.0,13.8,11.0,9.5,7.06,31614.28571428572,15185.714285714286,1462.571428571429,2.2,2.1142857142857143,0.3471428571428571,0.3428571428571429,6.557142857142857,29.0,73.57142857142857,446949.0,2021.0,0.0,0.0,0.0,39.0
0.0,0.0,0.0,0.0,28.5,29.0,6.7,7.04,800.0,120.0,110.0,2.8,8.281428571428572,0.6757142857142858,0.21,3.6142857142857134,28.0,0.0,446949.0,2023.0,0.0,0.0,1.0,38.0
0.0,0.0,0.0,0.0,17.0,13.0,6.33,8.7,1.0,400.0,120.0,5.5,0.13,0.22,0.18,2.6,45.0,0.0,100930.0,2023.0,1.0,0.0,0.0,7.0
1.0,1.0,0.0,1.0,15.3,10.0,4.13,7.17,6000.0,4100.0,2000.0,23.1,5.2,0.9,0.64,5.6,26.0,0.0,446949.0,2023.0,0.0,0.0,0.0,35.0
0.0,0.0,0.0,0.0,18.0,16.0,6.6,6.73,3.4,3.4,800.0,8.7,0.93,0.22,0.21,4.942857142857143,14.0,0.0,282281.0,2023.0,1.0,0.0,0.0,42.0
0.0,0.0,0.0,0.0,18.0,18.0,7.6,7.3,4.1,4.1,760.0,4.928571428571429,0.5,0.16,0.15,7.0,68.0,0.0,3121707.0,2023.0,1.0,0.0,0.0,17.0
0.0,0.0,0.0,0.0,13.1,7.0,8.63,7.93,10000.0,500.0,140.0,3.7,1.0,0.46,0.34,8.1,18.0,23.571428571428573,633391.0,2021.0,0.0,0.0,0.0,26.0
0.0,0.0,0.0,0.0,22.0,27.0,8.7,8.15,400.0,100.0,225.0,7.9,0.74,0.22,0.13,3.9,25.0,6.428571428571429,63997.0,2021.0,0.0,1.0,0.0,23.0
0.0,1.0,0.0,1.0,22.0,20.0,3.62,7.45,1700.0,1200.0,320.0,5.5,0.64,0.27,0.3542857142857142,3.871428571428571,62.5,0.0,367554.0,2024.0,0.0,0.0,1.0,2.0
0.0,0.0,0.0,0.0,21.4,28.0,4.24,6.85,1000.0,100.0,190.0,5.942857142857142,1.0,0.25,0.28,2.7,14.0,0.0,367554.0,2021.0,0.0,1.0,0.0,4.0
