fecha,año,campaña,latitud,longitud,tem_agua,turbiedad_ntu,ndci
2021-05-19,2021,otoño,-34.662789,-58.296669,16.7,30.0,-0.04436363636363632
2021-08-25,2021,invierno,-34.662789,-58.296669,14.7,21.0,0.06353591160221003
2021-10-27,2021,primavera,-34.662789,-58.296669,26.0,10.0,0.24902891670263283
2021-05-19,2021,otoño,-34.63,-58.328339,16.8,36.0,-0.0434137291280148
2021-08-25,2021,invierno,-34.63,-58.328339,15.4,22.0,0.024405125076265955
2021-10-27,2021,primavera,-34.63,-58.328339,21.4,14.0,0.04975124378109457
2021-02-24,2021,verano,-34.873061,-57.810561,20.0,18.0,0.22132672039677617
2021-08-25,2021,invierno,-34.873061,-57.810561,10.0,8.7,0.14729729729729726
2021-10-27,2021,primavera,-34.873061,-57.810561,11.0,4.9,0.11335578002244664
2021-02-24,2021,verano,-34.855808,-57.838144,21.0,16.0,0.25591397849462366
2021-08-25,2021,invierno,-34.855808,-57.838144,11.9,23.0,0.17634051962410177
2021-10-27,2021,primavera,-34.855808,-57.838144,10.0,14.0,0.258221332570775
2021-05-19,2021,otoño,-34.744169,-58.177231,13.0,40.0,0.23872595395774204
2021-08-25,2021,invierno,-34.744169,-58.177231,12.0,16.0,0.13181693614688958
2021-10-27,2021,primavera,-34.744169,-58.177231,27.0,70.0,0.22147083685545227
2021-02-24,2021,verano,-34.753,-58.108281,23.5,50.0,-0.005940594059405946
2021-05-19,2021,otoño,-34.753,-58.108281,11.0,43.0,0.09557344064386313
2021-08-25,2021,invierno,-34.753,-58.108281,12.0,21.0,0.12237330037082819
2021-10-27,2021,primavera,-34.753,-58.108281,26.0,50.0,0.03498409813721035
2021-08-25,2021,invierno,-34.547089,-58.430231,14.5,31.0,0.015754339118825067
2021-10-27,2021,primavera,-34.547089,-58.430231,24.9,13.0,0.07646914187361688
2021-08-25,2021,invierno,-34.612761,-58.340611,15.5,39.6,0.06649884623452895
